Código Dane departamento;Departamento;Código Dane municipio;Municipio;Grupo cultivo;Subgrupo;Cultivo;Desagregación cultivo;Año;Periodo;Área sembrada;Área cosechada;Producción;Rendimiento;Ciclo del cultivo;Estado físico del cultivo;Código del cultivo;Nombre científico del cultivo
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate demás variedades;2019;2019;24;23;138;6;Permanente;En fresco;2040299;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate demás variedades;2020;2020;8.52;3.52;21.12;6;Permanente;En fresco;2040299;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate demás variedades;2021;2021;8.52;4.52;27.12;6;Permanente;En fresco;2040299;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate demás variedades;2022;2022;17.17;8.52;51.12;6;Permanente;En fresco;2040299;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate demás variedades;2023;2023;14.97;8.52;51.12;6;Permanente;En fresco;2040299;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate demás variedades;2024;2024;12.97;6.97;83.64;12;Permanente;En fresco;2040299;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate Hass;2020;2020;15.48;15.48;92.88;6;Permanente;En fresco;2040201;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate Hass;2021;2021;15;15;90;6;Permanente;En fresco;2040201;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate Hass;2022;2022;15;15;90;6;Permanente;En fresco;2040201;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate Hass;2023;2023;11;11;77;7;Permanente;En fresco;2040201;Persea americana
5;Antioquia;5001;Medellín;Frutales;Demás frutales;Aguacate;Aguacate Hass;2024;2024;10;10;120;12;Permanente;En fresco;2040201;Persea americana
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de fruto;Ahuyama;Ahuyama;2022;2022A;0.2;0.2;2.7;13.5;Transitorio;En fresco;1050200;Cucurbita maxima
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de fruto;Ahuyama;Ahuyama;2023;2023A;0.2;0.2;2.7;13.5;Transitorio;En fresco;1050200;Cucurbita maxima
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de fruto;Ahuyama;Ahuyama;2024;2024A;0.25;0.14;1.68;12;Transitorio;En fresco;1050200;Cucurbita maxima
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de fruto;Ají;Ají;2022;2022A;2.98;2.98;23.99;8.05;Transitorio;En fresco;1050300;Capsicum L.
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de fruto;Ají;Ají;2023;2023A;2.5;1.5;15;10;Transitorio;En fresco;1050300;Capsicum L.
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de fruto;Ají;Ají;2024;2024A;2.5;1.5;18;12;Transitorio;En fresco;1050300;Capsicum L.
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de raíz;Ajo;Ajo;2019;2019A;3;3;12;4;Transitorio;En fresco;1050400;Allium sativum
5;Antioquia;5001;Medellín;Hortalizas;Hortalizas de raíz;Ajo;Ajo;2019;2019B;3;3;12;4;Transitorio;En fresco;1050400;Allium sativum
