ID_CUENTA;MES;DIAS_DE_CONSUMO;CONSUMO;PROMEDIO;USO;BARRIO;CORRIENTE_AJUSTADO;CARTERA_AJUSTADA;TOTAL;SALDO_A_FAVOR;DIAMETRO;FECHA_CREACION_MEDIDOR
1001;1;30;1;4;RESIDENCIAL 2;VILLAS DEL SOL;2590;0;2590;0;"1/2""";43026.46196
1001;2;30;0;3;RESIDENCIAL 2;VILLAS DEL SOL;2118;0;2118;0;"1/2""";43026.46196
1001;3;30;0;4;RESIDENCIAL 2;VILLAS DEL SOL;2191;0;2191;0;"1/2""";43026.46196
1001;4;30;0;4;RESIDENCIAL 2;VILLAS DEL SOL;2191;0;2191;0;"1/2""";43026.46196
1001;5;30;2;3;RESIDENCIAL 2;VILLAS DEL SOL;3161;0;3161;0;"1/2""";43026.46196
1001;6;30;0;2;RESIDENCIAL 2;VILLAS DEL SOL;2191;0;2191;0;"1/2""";43026.46196
1001;7;30;1;2;RESIDENCIAL 2;VILLAS DEL SOL;2674;0;2674;0;"1/2""";43026.46196
1001;8;30;2;2;RESIDENCIAL 2;VILLAS DEL SOL;3161;0;3161;0;"1/2""";43026.46196
1001;9;30;3;2;RESIDENCIAL 2;VILLAS DEL SOL;3757;0;3757;0;"1/2""";43026.46196
1001;10;30;3;2;RESIDENCIAL 2;VILLAS DEL SOL;3757;0;3757;0;"1/2""";43026.46196
1001;11;30;5;2;RESIDENCIAL 2;VILLAS DEL SOL;5974;-3757;2217;-3757;"1/2""";43026.46196
1001;12;30;6;3;RESIDENCIAL 2;VILLAS DEL SOL;5235;0;5235;0;"1/2""";43026.46196
1006;1;30;3;3;RESIDENCIAL 2;VILLAS DEL SOL;6424;0;6424;0;"1/2""";42051
1006;2;30;4;3;RESIDENCIAL 2;VILLAS DEL SOL;3998;0;3998;0;"1/2""";42051
1006;3;30;4;3;RESIDENCIAL 2;VILLAS DEL SOL;4134;0;4134;0;"1/2""";42051
1006;4;30;4;3;RESIDENCIAL 2;VILLAS DEL SOL;4134;0;4134;0;"1/2""";42051
1006;5;30;4;4;RESIDENCIAL 2;VILLAS DEL SOL;4134;0;4134;0;"1/2""";42051
1006;6;30;4;4;RESIDENCIAL 2;VILLAS DEL SOL;4134;0;4134;0;"1/2""";42051
1006;7;30;4;4;RESIDENCIAL 2;VILLAS DEL SOL;4134;0;4134;0;"1/2""";42051
1006;8;30;4;4;RESIDENCIAL 2;VILLAS DEL SOL;4134;0;4134;0;"1/2""";42051
1006;9;30;4;4;RESIDENCIAL 2;VILLAS DEL SOL;4262;0;4262;0;"1/2""";42051
1006;10;30;2;4;RESIDENCIAL 2;VILLAS DEL SOL;3263;0;3263;0;"1/2""";42051
1006;11;30;3;4;RESIDENCIAL 2;VILLAS DEL SOL;3757;0;3757;0;"1/2""";42051
1006;12;30;3;4;RESIDENCIAL 2;VILLAS DEL SOL;3746;0;3746;0;"1/2""";42051
